"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Algeria","DZA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1090000","874000","827000","879000","903000","1006000","1190000","1257000","1254000","1417000","1513000","1349000","1499000","1539000","1677000","1757000","1715000","1911000","2136000","2839000","3638000","4530000","5058000","5610000","5732000","",
"East Asia & Pacific (excluding high income)","EAP","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18978033.4115424","21473003.2131643","23276468.4009822","24734175.959108","25681274.9204193","29541451.7770766","34485593.9106465","34050330.5499575","37797592.4285541","43145063.2694831","46844045.8467766","53146996.2691857","62030759.5380185","67956647.6549734","69671105.7569529","84147146.8392448","100206548.294967","117050893.933439","136747229.892867","159718821.526621","175039221.734802","186148698.394932","197464207.576664","207838079.88608","216346892.775021","",
"Early-demographic dividend","EAR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169917270.87063","172629924.007391","180068587.7366","183401081.811801","198868894.267048","216559415.778687","212440258.923429","215405027.021111","216755688.126946","231847307.888873","238161620.688834","231161562.8074","220452989.447119","220696425.092231","212055993.409272","233443159.938521","230622330.143053","240569262.836155","262592017.358017","268751796.442165","291665952.641532","312536177.805357","323293789.658034","309760109.930838","309162984.624182","",
"East Asia & Pacific","EAS","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111029513.515443","120207382.73469","135134367.291732","143222409.06605","147230259.356896","144940043.624816","168940181.025123","179444037.892635","192471295.525222","209702886.266301","214634066.601668","213311310.795492","244826606.308854","263374393.64632","285484499.92899","306724570.777362","332053762.904104","357639154.537905","378927240.256413","397924613.627174","415829164.848491","429766923.30447","",
"Europe & Central Asia (excluding high income)","ECA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58088660.3573666","56152836.2251168","63488123.1474593","67514582.9790315","77876453.0159246","87069990.334411","92905850.2627809","101932824.158499","106278835.740454","103746592.116874","111933071.690006","125104297.917878","134512222.958773","149219350.787492","139026407.276936","131728088.769282","135074665.041049","155725525.855728","168179294.153323","176892023.527315","",
"Europe & Central Asia","ECS","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","379353565.367977","413343024.20325","438317794.315506","464858436.576818","460478788.155918","464731615.527208","475573623.924579","485303186.915618","512870548.959882","524618700.540081","552681769.856539","571305914.03176","548669250.451185","560983214.69751","583358267.914826","595044595.846584","618722493.040071","597780262.97292","615048942.216893","637282306.199496","693637532.476532","741282849.209424","767782222.094907","",
"Ecuador","ECU","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","271000","275000","321000","330000","386000","520000","562000","627000","613000","603000","664000","733000","801000","815000","814000","899000","1022000","1022000","1138000","1096000","1221000","1366000","1347000","1402000","1515000","",
"Egypt, Arab Rep.","EGY","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4716000","4618000","4863000","5678000","5782000","6180000","","","","","","",
"Euro area","EMU","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","181274082.0169","206240472.26244","219235794.720674","228930416.320672","229301259.950345","233370780.833858","243734884.378923","238960416.652133","247995786.428244","246707818.427872","258121284.421702","268424068.144135","267294539.714943","268542802.851043","270662475.488274","266821665.838737","269730318.818664","273037473.689909","278951323.922403","293583943.627566","319076766.937868","346999220.909923","","",
"Eritrea","ERI","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12709000","13042000","13754000","14254000","15944000","14916000","13434000","13952000","17625000","18277000","20274000","22287000","22816000","",
"Estonia","EST","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1764000","1547000","1616000","1659000","1780000","1800000","1658000","1849000","2075000","","","438000","677000","692000","752000","955000","1054000","1147000","1166000","1426000","1250000","1339000","1279000","2069000","1702000","",
"Ethiopia","ETH","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120000","133000","","","","","","","","","","","","","","","","","","","","","","","","",
"European Union","EUU","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","276481433.649127","301825310.149678","318634555.939724","331148677.216125","327322121.797352","322517024.908333","327938090.739367","325082977.311407","340790721.089828","345129885.459315","366444068.944159","383934114.975971","368943937.97264","370353244.507535","372259727.841468","373042069.923596","380538363.521994","368143656.778922","386163974.528614","405875522.886937","439558242.793785","470640346.965742","494010157.638639","",
"Fragile and conflict affected situations","FCS","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6668000","6428000","6413000","6566000","6693000","7485000","8238000","9978000","9526000","9783000","10022000","10278000","10480000","10480000","10440000","",
"Fiji","FJI","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68000","72000","74000","78000","89000","83000","85000","99000","104000","94000","109000","121000","120000","124000","125000","128000","132000","132000","","","","156000","169000","174000","174000","",
"France","FRA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27107000","33144000","30960000","30646000","29973000","31153000","29642000","30457000","31941000","30608000","29636000","44265000","48069000","49276000","",
"Faroe Islands","FRO","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203000","187000","168000","189000","219000","236000","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41345000","42050000","45957000","50872000","53881000","56837000","58281000","59377000","61424000","64194000","66494000","69536000","69450000","69011000","63513000","64647000","67493000","66858000","68959000","72204000","77619000","81757000","87242000","90571000","93086000","",
"Georgia","GEO","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","228000","219000","355000","433000","373000","315000","306000","317000","","466000","857000","1346000","1473000","1872000","1980000","2086000","2237000","2734000","3220000","3106000","3136000","3400000","3851000","3698000","3780000","",
"Ghana","GHA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gibraltar","GIB","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gambia, The","GMB","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","387000","307000","","","","","","","","","","","","","","",
"Guinea-Bissau","GNB","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3765000","3835000","3799000","4941000","4681000","4594000","5802000","6291000","7235000","7685000","7961000","7848000","",
"Grenada","GRD","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","333000","333000","331000","391000","485000","488000","580000","629000","658000","854000","982000","1055000","1168000","1277000","651000","694000","718000","721000","846000","992000","1130000","1195000","1328000","1538000","1703000","",
"Guam","GUM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income","HIC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","567655449.262111","602443308.611905","636543649.224321","631362124.420856","629989071.482411","619347911.209465","647616594.58182","674518010.011191","770879825.77264","795905507.979594","805957815.987424","773424777.944146","798935307.230265","810085577.5993","828713093.231671","846972974.711279","840431835.44969","879026566.11363","917424731.612515","970848667.752773","1005088273.60282","1030940500.48785","",
"Hong Kong SAR, China","HKG","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47594000","53144000","58901000","61096000","64540000","60936000","68903000","72300000","75812000","80682000","81911000","81958000","84442000","84816000","85276000","84414000","84519000","89082000","91758000","91304000","92214000","94715000","",
"Honduras","HND","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1090000","1092000","1072000","1055000","1065000","1150000","1121000","727000","703000","","",
"Heavily indebted poor countries (HIPC)","HPC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4393000","4823000","","5526000","5159000","5444000","4638000","4355000","2581000","2597000","2980000","3500000","",
"Haiti","HTI","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13083000","12064000","12173000","12317000","10622000","11065000","11167000","12966000","14283000","17558000","17759000","16597000","17056000","17162000","16640000","16082000","16634000","16143000","16038000","16340000","17276000","18895000","20297000","22805000","24860000","",
"IBRD only","IBD","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","248603309.303858","253409828.93049","266613379.457409","272827739.332449","292751825.232694","321556010.893807","321456969.001334","318328668.878181","321062885.236829","345340140.74861","364525438.010345","375523616.111219","386028886.91252","401754754.435161","377254502.89741","402454428.227343","437846343.315365","472753411.827365","521163628.470828","516965391.262551","544543532.471157","570597854.632301","610115848.570965","614832050.967748","632522366.553452","",
